CatalogNumber,Date,TradeDirection,ProductName,CompanyName,ContactPerson,Protein,TestWeight,FallingNumber,Quantity,DeliveryParity,LocationDetail,Price,Currency,GMP,ISCC,PublicNotes,PrivateNotes,,,,,,,,,,,,,,,,,,,,
134,06.02.2024,offer,maize,,Petro,,,,,,,,,,,"maize, 12.000t, FCA Levice, 2-6/2024",FCA Kalná nad Hronom,,,,,,,,,,,,,,,,,,,,
135,06.02.2024,offer,wheat,,Petro,,,,,,,,,,,"wheat 14/78/300, 500t FCA Levice+30km, 500t FCA Dun.Streda +30km, 500t FCA Trnava+50km, 7-9/2024 ",Donaufarm,,,,,,,,,,,,,,,,,,,,
136,06.02.2024,offer,sunflower HO,,Petro,,,,,,,,,,,"sunflower HO, 500t FCA Velký Meder+20km, 9-10/2024",Sokolce,,,,,,,,,,,,,,,,,,,,
137,06.02.2024,offer,sunflower HO,,Petro,,,,,,,,,,,"sunflower HO, 500t FCA Šala+20km, 9-10/2024",Selice,,,,,,,,,,,,,,,,,,,,
138,06.02.2024,offer,sunflower HO,,Petro,,,,,,,,,,,"sunflower HO, 500t FCA Dun.Streda+20km, 9-10/2024",,,,,,,,,,,,,,,,,,,,,
139,06.02.2024,offer,wheat,,Petro,,,,,,,,,,,"wheat, 14/78/300, FCA Nové Zámky + 20km, 2-4/2024",FCA Jasová,,,,,,,,,,,,,,,,,,,,
140,08.02.2024,offer,durum,,Braňo,,,,,,,,,,,"durum, 13/78/300/30, FCA Piešťny + 20km, 250t, 265€/t",,,,,,,,,,,,,,,,,,,,,
141,09.02.2024,offer,durum,,Braňo,,,,,,,,,,,"durum, 13/78/220/75, FOR train east SK, 8-9/2024, 1850t, 305€/t",FCA Úpor,,,,,,,,,,,,,,,,,,,,
142,10.02.2024,offer,durum,,Braňo,,,,,,,,,,,"durum, 13/78/220/75, FCA Levice+20km, 400t, ex crop, 305€/t",,,,,,,,,,,,,,,,,,,,,
143,11.02.2024,offer,rapeseed,,Braňo,,,,,,,,,,,"rapeseed, 40/9/2, iscc, gmp, FCA Topolčany+20km, 7-8/2024, 410€/t",,,,,,,,,,,,,,,,,,,,,
144,13.2.2024,offer,wheat,,Dusan,,,,,,,,,,,"wheat, 72-73kg/HL, 11,5%protein, 25gluten, 40zeleny, FCA Horne Otrokovce, 2-3/24",,,,,,,,,,,,,,,,,,,,,
145,19.2.2024,offer,wheat,,Braňo,,,,,,,,,,,"wheat, 12,5/77/250, FCA Trebišov, 8-10/2024, 500-1000t",,,,,,,,,,,,,,,,,,,,,
146,19.2.2024,offer,durum,,Braňo,,,,,,,,,,,"durum, 13/78/250/75, FCA/FOR Trebišov, 8-10/2024, 1850t, train or trucks",,,,,,,,,,,,,,,,,,,,,
147,19.2.2024,offer,maize,,Braňo,,,,,,,,,,,"maize non gmo, iscc, gmp, 14,5/8/2, FCA Trebišov, 10-11/24, 500t",,,,,,,,,,,,,,,,,,,,,
